METAR,RCKU,120900Z,350,10KT,9999,FEW012,22,16,Q1017,NOSIG,A3006,,,,,,,,,,
METAR,RCKU,120830Z,330,10KT,9999,FEW012,23,16,Q1017,NOSIG,A3005,,,,,,,,,,
METAR,RCKU,120800Z,340,11KT,9999,FEW012,24,15,Q1017,NOSIG,A3005,,,,,,,,,,
METAR,RCKU,120730Z,340,10KT,9999,FEW012,25,15,Q1017,NOSIG,A3004,,,,,,,,,,
METAR,RCKU,120700Z,340,10KT,9999,FEW012,25,15,Q1017,NOSIG,A3004,,,,,,,,,,
METAR,RCKU,120630Z,340,10KT,9999,FEW012,25,15,Q1017,NOSIG,A3005,,,,,,,,,,
METAR,RCKU,120600Z,340,11KT,9999,FEW012,25,15,Q1017,NOSIG,A3005,,,,,,,,,,
METAR,RCKU,120530Z,340,11KT,9999,FEW012,25,15,Q1018,NOSIG,A3006,,,,,,,,,,
METAR,RCKU,120500Z,340,08KT,9999,FEW012,25,15,Q1018,NOSIG,A3008,,,,,,,,,,
METAR,RCKU,120430Z,340,08KT,9999,FEW012,24,15,Q1019,NOSIG,A3009,,,,,,,,,,
METAR,RCKU,120400Z,330,07KT,9999,FEW012,24,15,Q1019,NOSIG,A3011,,,,,,,,,,
METAR,RCKU,120330Z,340,07KT,9999,FEW012,23,15,Q1020,NOSIG,A3013,,,,,,,,,,
METAR,RCKU,120300Z,320,06KT,9999,FEW012,22,15,Q1020,NOSIG,A3014,,,,,,,,,,
