METAR,RCKU,080830Z,350,15KT,9999,FEW012 SCT030 BKN060,16,06,Q1022,NOSIG,A3019,,,,,,
METAR,RCKU,080800Z,350,14KT,9999,FEW012 SCT030 BKN080,16,06,Q1022,NOSIG,A3018,,,,,,
METAR,RCKU,080730Z,350,15KT,9999,FEW012 BKN050 BKN080,16,06,Q1021,NOSIG,A3017,,,,,,
METAR,RCKU,080700Z,360,14KT,9999,FEW012 BKN030 BKN050,15,06,Q1021,NOSIG,A3017,,,,,,
METAR,RCKU,080630Z,350,14KT,9999,FEW012 BKN020 BKN040,15,06,Q1022,NOSIG,A3018,,,,,,
METAR,RCKU,080600Z,360,13KT,9999,FEW012 BKN020 BKN040,15,07,Q1022,NOSIG,A3019,,,,,,
METAR,RCKU,080530Z,360,14KT,9999,FEW012 BKN020 BKN040,15,07,Q1022,NOSIG,A3020,,,,,,
METAR,RCKU,080500Z,360,16KT,9999,FEW012 BKN020 BKN040,14,07,Q1023,NOSIG,A3021,,,,,,
METAR,RCKU,080430Z,360,15KT,9999,FEW012 BKN020 BKN040,14,07,Q1023,NOSIG,A3022,,,,,,
METAR,RCKU,080400Z,360,15KT,9999,FEW012 BKN020 BKN040,13,07,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080330Z,350,14KT,9999,FEW012 BKN020 BKN040,13,07,Q1024,NOSIG,A3025,,,,,,
METAR,RCKU,080300Z,350,16KT,9999,FEW012 BKN020 BKN040,14,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080230Z,350,13KT,9999,FEW012 BKN020 BKN040,15,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080200Z,010,13KT,9999,FEW012 BKN016 BKN030,14,08,Q1023,NOSIG,A3023,,,,,,
METAR,RCKU,080130Z,350,15KT,9999,FEW012 BKN016 BKN030,13,08,Q1024,NOSIG,A3025,,,,,,
METAR,RCKU,080100Z,360,15KT,9999,FEW012 BKN016 BKN030,13,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080030Z,360,16KT,9999,FEW012 SCT020 BKN040,13,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080000Z,360,15KT,9999,FEW012 SCT030 BKN060,13,09,Q1023,NOSIG,A3023,,,,,,
METAR,RCKU,072330Z,360,14KT,9999,FEW012 SCT030 BKN060,13,09,Q1023,NOSIG,A3022,,,,,,
METAR,RCKU,072300Z,360,13KT,9999,FEW010 BKN021 BKN040,13,09,Q1023,NOSIG,A3021,,,,,,
METAR,RCKU,072230Z,360,13KT,9999,FEW008 BKN016 BKN030,13,09,Q1022,NOSIG,A3019,,,,,,
SPECI,RCKU,072220Z,020,02KT,1200,R36,0500U,BR,BKN004,15,15,Q1018,BECMG,TL2300,1200,BR,A3008
METAR,RCKU,072200Z,360,13KT,9999,FEW008 BKN016 BKN030,13,09,Q1022,NOSIG,A3018,,,,,,
METAR,RCKU,072130Z,360,15KT,9999,FEW008 BKN016 BKN040,13,09,Q1021,NOSIG,A3016,,,,,,
METAR,RCKU,072100Z,360,14KT,9999,FEW012 BKN021 BKN040,13,09,Q1020,NOSIG,A3014,,,,,,
METAR,RCKU,072030Z,360,12KT,9999,FEW012 BKN021 BKN060,13,09,Q1020,A3013,,,,,,,
METAR,RCKU,072000Z,350,12KT,9999,FEW012 SCT021 BKN060,13,10,Q1020,A3012,,,,,,,
METAR,RCKU,071900Z,360,09KT,9999,FEW012 BKN060,13,10,Q1020,A3013,,,,,,,
METAR,RCKU,071800Z,350,10KT,9999,FEW012 BKN080,13,10,Q1020,A3013,,,,,,,
METAR,RCKU,071700Z,360,07KT,9999,FEW012 BKN060,14,11,Q1020,A3012,,,,,,,
METAR,RCKU,071600Z,350,08KT,9999,FEW012 BKN060,14,11,Q1020,A3014,RA,AMT,T,,,,
SPECI,RCKU,071532Z,350,08KT,9999,VCSH,FEW012 SCT030 BKN060,14,11,Q1020,A3014,VCSH,E,,,,
METAR,RCKU,071500Z,360,08KT,9999,-DZ,FEW012 SCT030 BKN060,14,11,Q1020,A3014,RA,AMT,T,,,
SPECI,RCKU,071444Z,350,08KT,9999,-DZ,FEW012 BKN050,14,11,Q1020,A3014,,,,,,
METAR,RCKU,071400Z,360,09KT,9999,VCSH,FEW012 BKN060,14,11,Q1020,A3014,VCSH,SW,,,,
METAR,RCKU,071330Z,350,09KT,9999,FEW012 BKN060,14,11,Q1020,A3014,,,,,,,
METAR,RCKU,071300Z,350,12KT,9999,FEW012 BKN060,14,11,Q1020,A3013,,,,,,,
METAR,RCKU,071230Z,360,11KT,9999,FEW012 BKN060,15,12,Q1020,A3012,,,,,,,
METAR,RCKU,071200Z,360,13KT,9999,FEW012 BKN060,15,11,Q1019,A3010,,,,,,,
METAR,RCKU,071130Z,350,14KT,9999,FEW012 BKN060,15,11,Q1019,A3010,,,,,,,
METAR,RCKU,071100Z,350,14KT,9999,FEW012 SCT030 BKN060,15,11,Q1018,A3009,,,,,,,
METAR,RCKU,071030Z,350,12G22KT,9999,FEW012 BKN030 BKN060,15,11,Q1018,A3006,,,,,,,
METAR,RCKU,071000Z,350,13G23KT,9999,FEW012 SCT030 BKN060,16,12,Q1018,A3008,,,,,,,
METAR,RCKU,070930Z,350,16KT,9999,FEW012 BKN060,16,12,Q1017,A3004,,,,,,,
METAR,RCKU,070900Z,360,18KT,9999,FEW012 BKN060,17,12,Q1017,NOSIG,A3003,,,,,,
METAR,RCKU,070830Z,350,17KT,9999,FEW012 SCT030 BKN060,18,12,Q1016,NOSIG,A3002,,,,,,
