METAR,RCKU,010830Z,350,09KT,9999,-RA,FEW012 SCT030 BKN060,17,16,Q1020,NOSIG,A3014,,,
METAR,RCKU,010800Z,350,09KT,9999,-RA,FEW012 SCT030 BKN060,18,15,Q1020,NOSIG,A3014,RA,AMT,T
METAR,RCKU,010730Z,360,08KT,9999,-RA,FEW012 SCT030 BKN060,18,15,Q1020,NOSIG,A3014,,,
METAR,RCKU,010700Z,340,09KT,9999,-RA,FEW012 SCT030 BKN060,19,14,Q1020,NOSIG,A3014,RA,AMT,T
METAR,RCKU,010630Z,340,08KT,9999,-RA,FEW012 SCT030 BKN060,19,14,Q1020,NOSIG,A3013,,,
SPECI,RCKU,010608Z,350,08KT,9999,-RA,FEW012 SCT030 BKN060,19,15,Q1020,NOSIG,A3013,,,
METAR,RCKU,010600Z,350,09KT,9999,VCSH,FEW012 SCT030 BKN060,18,15,Q1020,NOSIG,A3013,VCSH,SW,
METAR,RCKU,010530Z,350,08KT,9999,FEW012 SCT030 BKN060,19,14,Q1020,NOSIG,A3014,,,,
METAR,RCKU,010500Z,360,08KT,9999,FEW012 SCT030 BKN060,20,14,Q1021,NOSIG,A3015,,,,
METAR,RCKU,010430Z,020,08KT,9999,FEW012 SCT030 BKN060,20,14,Q1021,NOSIG,A3016,,,,
METAR,RCKU,010400Z,360,08KT,9999,FEW012 SCT030 BKN060,19,14,Q1022,NOSIG,A3018,,,,
METAR,RCKU,010330Z,350,08KT,9999,FEW012 SCT030 BKN060,19,13,Q1022,NOSIG,A3019,,,,
METAR,RCKU,010300Z,360,08KT,9999,FEW012 SCT030 BKN060,18,13,Q1022,NOSIG,A3020,,,,
METAR,RCKU,010230Z,350,08KT,9999,FEW012 SCT030 BKN060,18,13,Q1023,NOSIG,A3021,,,,
METAR,RCKU,010200Z,010,08KT,9999,FEW012 SCT030 BKN060,18,13,Q1023,NOSIG,A3021,,,,
METAR,RCKU,010130Z,360,10KT,9999,FEW012 SCT030 BKN060,17,13,Q1023,NOSIG,A3021,,,,
METAR,RCKU,010100Z,340,10KT,9999,FEW012 SCT030 BKN060,16,13,Q1022,NOSIG,A3020,,,,
METAR,RCKU,010030Z,350,08KT,9999,FEW012 BKN060,16,13,Q1022,NOSIG,A3018,,,,
METAR,RCKU,010000Z,360,09KT,9999,FEW012 BKN060,15,13,Q1021,NOSIG,A3015,,,,
METAR,RCKU,312330Z,350,08KT,9999,FEW012 BKN060,15,13,Q1020,NOSIG,A3014,,,,
METAR,RCKU,312300Z,350,10KT,9999,FEW012 BKN080,15,13,Q1020,NOSIG,A3013,,,,
METAR,RCKU,312230Z,350,09KT,9999,FEW012 BKN080,15,13,Q1020,NOSIG,A3013,,,,
METAR,RCKU,312200Z,360,09KT,9999,FEW012 SCT020 BKN080,15,13,Q1020,NOSIG,A3012,,,,
METAR,RCKU,312130Z,360,10KT,9999,FEW012 SCT020 BKN080,15,13,Q1019,NOSIG,A3011,,,,
METAR,RCKU,312100Z,360,10KT,9999,FEW012 SCT020 BKN080,15,13,Q1019,NOSIG,A3011,,,,
METAR,RCKU,312030Z,350,09KT,9999,FEW012 SCT020 BKN080,15,13,Q1019,A3011,,,,,
METAR,RCKU,312000Z,360,10KT,9999,FEW012 SCT060 BKN080,15,13,Q1019,A3010,,,,,
METAR,RCKU,311900Z,360,07KT,9999,FEW012 SCT020 BKN080,15,13,Q1019,A3011,,,,,
METAR,RCKU,311800Z,360,08KT,9999,FEW012 SCT080,14,13,Q1020,A3012,,,,,
METAR,RCKU,311700Z,360,07KT,9999,FEW012 SCT080,14,13,Q1020,A3013,,,,,
METAR,RCKU,311600Z,350,10KT,9999,FEW012 BKN080,15,13,Q1020,A3013,,,,,
METAR,RCKU,311500Z,350,09KT,9999,FEW012,15,13,Q1020,A3014,,,,,
METAR,RCKU,311400Z,360,09KT,9999,FEW012,15,14,Q1020,A3014,,,,,
METAR,RCKU,311330Z,360,08KT,9999,FEW012,16,14,Q1021,A3015,,,,,
METAR,RCKU,311300Z,350,11KT,9999,FEW012,16,14,Q1021,A3015,,,,,
METAR,RCKU,311230Z,360,11KT,9999,FEW012,16,14,Q1020,A3014,,,,,
METAR,RCKU,311200Z,360,09KT,9999,FEW012,16,14,Q1020,A3014,,,,,
METAR,RCKU,311130Z,350,12KT,9999,FEW012 SCT060,16,14,Q1020,A3014,,,,,
METAR,RCKU,311100Z,350,14KT,9999,FEW012 SCT060,17,14,Q1020,A3013,,,,,
METAR,RCKU,311030Z,350,12KT,9999,FEW012 SCT060,17,15,Q1020,A3012,,,,,
METAR,RCKU,311000Z,350,13KT,9999,FEW012 BKN060,18,15,Q1019,A3010,,,,,
METAR,RCKU,310930Z,350,17KT,9999,FEW012 BKN060,18,15,Q1019,A3011,,,,,
METAR,RCKU,310900Z,350,15KT,9999,FEW012 BKN060,20,16,Q1019,NOSIG,A3011,,,,
METAR,RCKU,310830Z,340,13KT,9999,FEW012 BKN060,21,16,Q1019,NOSIG,A3010,,,,
