METAR,RCKU,140830Z,250,07KT,9999,FEW012 SCT200,26,17,Q1014,NOSIG,A2996,,,
METAR,RCKU,140800Z,260,06KT,9999,FEW012 SCT200,27,16,Q1014,NOSIG,A2995,,,
METAR,RCKU,140730Z,300,08KT,9999,FEW012,28,16,Q1014,NOSIG,A2995,,,
METAR,RCKU,140700Z,290,08KT,9999,FEW012,28,16,Q1014,NOSIG,A2995,,,
METAR,RCKU,140630Z,260,09KT,9999,FEW012 SCT200,29,16,Q1014,NOSIG,A2995,,,
METAR,RCKU,140600Z,260,05KT,9999,FEW012 SCT200,29,16,Q1014,NOSIG,A2995,,,
METAR,RCKU,140530Z,000,00KT,9999,FEW012 SCT200,30,15,Q1014,NOSIG,A2996,,,
METAR,RCKU,140500Z,320,06KT,9999,FEW012 SCT200,29,15,Q1015,NOSIG,A2997,,,
METAR,RCKU,140430Z,300,04KT,9999,FEW012 SCT200,28,15,Q1015,NOSIG,A2999,,,
METAR,RCKU,140400Z,340,02KT,9999,FEW012 SCT200,28,15,Q1015,NOSIG,A3000,,,
METAR,RCKU,140330Z,310,06KT,9999,FEW012 SCT200,27,15,Q1016,NOSIG,A3001,,,
METAR,RCKU,140300Z,330,06KT,9000,FEW012 SCT200,27,15,Q1016,NOSIG,A3002,,,
METAR,RCKU,140230Z,020,06KT,8000,FEW010,26,15,Q1017,NOSIG,A3003,,,
METAR,RCKU,140200Z,050,03KT,8000,FEW010,24,16,Q1017,NOSIG,A3004,,,
METAR,RCKU,140130Z,050,02KT,8000,FEW010,23,17,Q1017,NOSIG,A3005,,,
METAR,RCKU,140100Z,340,03KT,7000,FEW010,22,17,Q1017,NOSIG,A3005,,,
METAR,RCKU,140030Z,360,02KT,6000,FEW010,20,17,Q1017,NOSIG,A3004,,,
SPECI,RCKU,140005Z,340,03KT,5000,BR,SCT008,19,16,Q1017,NOSIG,A3003,,
METAR,RCKU,140000Z,350,01KT,4000,BR,SCT008,18,16,Q1017,BECMG,5000,BR,A3003
METAR,RCKU,132330Z,340,03KT,4000,BR,SCT008,17,16,Q1016,BECMG,5000,BR,A3002
SPECI,RCKU,132320Z,340,03KT,4000,BR,SCT008,16,15,Q1016,BECMG,5000,BR,A3002
METAR,RCKU,132300Z,350,04KT,3200,BR,SCT008,15,15,Q1016,BECMG,5000,BR,A3002
SPECI,RCKU,132237Z,010,02KT,3200,BR,SCT008,15,15,Q1016,BECMG,3000,BR,A3001
METAR,RCKU,132230Z,020,03KT,4000,BR,SCT008,15,15,Q1016,BECMG,3000,BR,A3001
METAR,RCKU,132200Z,360,04KT,4000,BR,SCT008,15,14,Q1016,BECMG,3000,BR,A3001
METAR,RCKU,132130Z,010,04KT,4000,BR,SCT008,15,15,Q1016,BECMG,3000,BR,A3000
METAR,RCKU,132100Z,360,04KT,4000,BR,SCT008,15,15,Q1016,NOSIG,A3000,,
SPECI,RCKU,132053Z,360,04KT,4000,BR,SCT008,15,15,Q1016,A3000,,,
METAR,RCKU,132030Z,360,04KT,5000,BR,FEW012,16,15,Q1016,A3001,,,
METAR,RCKU,132000Z,350,06KT,5000,BR,FEW012,15,15,Q1016,A3001,,,
METAR,RCKU,131900Z,030,01KT,5000,BR,FEW012,16,15,Q1016,A3000,,,
METAR,RCKU,131800Z,360,02KT,5000,BR,FEW012,17,16,Q1016,A3001,,,
METAR,RCKU,131700Z,090,01KT,5000,BR,FEW012,18,16,Q1016,A3003,,,
METAR,RCKU,131600Z,000,00KT,5000,BR,FEW012,18,16,Q1017,A3004,,,
METAR,RCKU,131500Z,120,01KT,5000,BR,FEW012,18,17,Q1017,A3004,,,
METAR,RCKU,131400Z,000,00KT,5000,BR,FEW012,18,16,Q1017,A3004,,,
SPECI,RCKU,131339Z,000,00KT,5000,BR,FEW012,18,16,Q1017,A3005,,,
METAR,RCKU,131330Z,000,00KT,6000,FEW012,19,17,Q1017,A3004,,,,
METAR,RCKU,131300Z,320,01KT,7000,FEW012,19,16,Q1017,A3004,,,,
METAR,RCKU,131230Z,330,01KT,7000,FEW012,19,17,Q1017,A3003,,,,
METAR,RCKU,131200Z,010,01KT,8000,FEW012,19,16,Q1016,A3002,,,,
METAR,RCKU,131130Z,360,03KT,8000,FEW012,19,16,Q1016,A3001,,,,
METAR,RCKU,131100Z,330,02KT,9999,FEW012,19,16,Q1015,A3000,,,,
METAR,RCKU,131030Z,340,05KT,9999,FEW012,20,16,Q1015,A2999,,,,
METAR,RCKU,131000Z,340,06KT,9999,FEW012,21,16,Q1015,A2998,,,,
METAR,RCKU,130930Z,330,07KT,9999,FEW012,23,16,Q1015,A2998,,,,
METAR,RCKU,130900Z,340,07KT,9999,FEW012,25,15,Q1015,NOSIG,A2998,,,
METAR,RCKU,130830Z,340,07KT,9999,FEW012,26,15,Q1015,NOSIG,A2998,,,
